loss,val_loss
"0,0994","0,032"
"0,0419","0,044"
"0,0382","0,034"
"0,0368","0,029"
"0,0360","0,146"
"0,0355","0,031"
"0,0350","0,036"
"0,0346","0,030"
"0,0342","0,032"
"0,0339","0,055"
"0,0336","0,030"
"0,0333","0,043"
"0,0330","0,052"
"0,0327","0,028"
"0,0325","0,029"
"0,0322","0,027"
"0,0320","0,037"
"0,0318","0,028"
"0,0316","0,049"
"0,0313","0,073"
"0,0312","0,033"
"0,0308","0,028"
"0,0307","0,093"
"0,0304","0,132"
"0,0303","0,032"
"0,0301","0,028"
"0,0299","0,109"
"0,0296","0,029"
"0,0295","0,034"
"0,0293","0,030"
"0,0291","0,029"
"0,0290","0,031"
"0,0288","0,073"
"0,0287","0,027"
"0,0286","0,031"
"0,0285","0,170"
"0,0284","0,029"
"0,0284","0,030"
"0,0283","0,136"
"0,0282","0,036"
"0,0281","0,028"
"0,0281","0,027"
"0,0280","0,036"
"0,0279","0,107"
"0,0279","0,064"
"0,0278","0,038"
"0,0277","0,030"
"0,0277","0,028"
"0,0277","0,074"
"0,0276","0,066"
"0,0276","0,043"
"0,0275","0,052"
"0,0275","0,030"
"0,0274","0,206"
"0,0274","0,107"
"0,0273","0,041"
"0,0272","0,038"
"0,0272","0,062"
"0,0271","0,027"
"0,0271","0,076"
"0,0270","0,029"
"0,0269","0,056"
"0,0269","0,030"
"0,0269","0,028"
"0,0269","0,046"
"0,0267","0,198"
"0,0267","0,126"
"0,0243","0,038"
"0,0243","0,032"
"0,0243","0,030"
"0,0243","0,027"
"0,0243","0,036"
"0,0243","0,032"
"0,0243","0,032"
"0,0242","0,028"
"0,0242","0,026"
"0,0242","0,032"
"0,0242","0,026"
"0,0242","0,028"
"0,0242","0,027"
"0,0242","0,029"
"0,0242","0,027"
"0,0241","0,029"
"0,0241","0,028"
"0,0240","0,027"
"0,0240","0,029"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,026"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,029"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,030"
"0,0240","0,028"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,030"
"0,0240","0,027"
"0,0240","0,027"
"0,0240","0,026"
"0,0240","0,027"
"0,0240","0,026"
"0,0240","0,026"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,027"
"0,0240","0,026"
"0,0239","0,027"
"0,0240","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,026"
"0,0239","0,026"
"0,0239","0,026"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,026"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,026"
"0,0239","0,027"
"0,0239","0,027"
"0,0239","0,026"
"0,0239","0,026"
"0,0239","0,027"
