loss,conv2d_63_loss,conv2d_126_loss,val_loss,val_conv2d_63_loss,val_conv2d_126_loss
"0,1707","0,0839","0,0868","0,110","0,056","0,054"
"0,1186","0,0603","0,0583","0,835","0,649","0,187"
"0,1112","0,0562","0,0551","0,103","0,052","0,051"
"0,1090","0,0552","0,0538","0,106","0,053","0,053"
"0,1004","0,0503","0,0501","0,101","0,051","0,050"
"0,0993","0,0497","0,0496","0,099","0,050","0,049"
"0,0959","0,0483","0,0476","0,096","0,049","0,048"
"0,0938","0,0474","0,0464","0,096","0,048","0,047"
"0,0919","0,0465","0,0454","0,094","0,047","0,047"
"0,0900","0,0456","0,0445","0,092","0,047","0,045"
"0,0887","0,0450","0,0437","0,092","0,046","0,045"
"0,0875","0,0445","0,0431","0,090","0,046","0,044"
"0,0862","0,0438","0,0424","0,090","0,045","0,044"
"0,0851","0,0433","0,0418","0,287","0,134","0,152"
"0,0841","0,0429","0,0412","0,095","0,048","0,046"
"0,0833","0,0425","0,0407","0,089","0,045","0,044"
"0,0824","0,0422","0,0402","0,088","0,045","0,044"
"0,0816","0,0419","0,0398","0,087","0,044","0,043"
"0,0809","0,0415","0,0393","0,118","0,058","0,061"
"0,0803","0,0413","0,0390","0,087","0,044","0,043"
"0,0795","0,0410","0,0385","0,086","0,044","0,042"
"0,0789","0,0408","0,0382","0,085","0,044","0,042"
"0,0782","0,0405","0,0377","0,085","0,043","0,042"
"0,0778","0,0403","0,0375","0,085","0,044","0,042"
"0,0772","0,0401","0,0371","0,085","0,043","0,042"
"0,0766","0,0399","0,0368","0,084","0,043","0,041"
"0,0761","0,0397","0,0365","0,084","0,043","0,041"
"0,0756","0,0395","0,0361","0,084","0,043","0,041"
"0,0752","0,0393","0,0359","0,085","0,043","0,042"
"0,0746","0,0391","0,0356","0,084","0,043","0,041"
"0,0742","0,0389","0,0353","0,084","0,043","0,041"
"0,0739","0,0388","0,0351","0,084","0,043","0,041"
"0,0734","0,0386","0,0348","0,084","0,043","0,042"
"0,0730","0,0385","0,0345","0,084","0,043","0,041"
"0,0727","0,0384","0,0343","0,083","0,042","0,041"
"0,0724","0,0383","0,0341","0,084","0,043","0,041"
"0,0719","0,0381","0,0338","0,084","0,043","0,041"
"0,0713","0,0379","0,0335","0,085","0,043","0,042"
"0,0711","0,0378","0,0333","0,084","0,043","0,041"
"0,0709","0,0377","0,0332","0,083","0,043","0,041"
"0,0705","0,0376","0,0330","0,083","0,043","0,041"
"0,0702","0,0374","0,0327","0,084","0,043","0,041"
"0,0699","0,0373","0,0326","0,084","0,043","0,041"
"0,0696","0,0372","0,0323","0,084","0,043","0,041"
"0,0692","0,0371","0,0321","0,084","0,043","0,041"
"0,0688","0,0370","0,0319","0,084","0,043","0,041"
"0,0687","0,0369","0,0318","0,084","0,043","0,041"
"0,0685","0,0368","0,0316","0,084","0,043","0,041"
"0,0682","0,0368","0,0315","0,084","0,043","0,042"
"0,0649","0,0355","0,0294","0,083","0,042","0,041"
"0,0637","0,0351","0,0286","0,083","0,042","0,041"
"0,0632","0,0349","0,0283","0,083","0,042","0,041"
"0,0628","0,0348","0,0280","0,083","0,042","0,041"
"0,0625","0,0347","0,0278","0,084","0,042","0,041"
"0,0622","0,0346","0,0275","0,084","0,042","0,041"
"0,0619","0,0345","0,0273","0,084","0,042","0,042"
"0,0617","0,0345","0,0272","0,084","0,042","0,042"
"0,0614","0,0344","0,0270","0,084","0,042","0,042"
