loss,conv2d_63_loss,conv2d_95_loss,conv2d_127_loss,val_loss,val_conv2d_63_loss,val_conv2d_95_loss,val_conv2d_127_loss
"0,2573","0,0829","0,0859","0,0885","0,165","0,054","0,057","0,054"
"0,1626","0,0544","0,0543","0,0539","0,152","0,051","0,051","0,051"
"0,1533","0,0510","0,0515","0,0508","0,148","0,049","0,049","0,049"
"0,1451","0,0488","0,0482","0,0481","0,142","0,048","0,047","0,047"
"0,1401","0,0471","0,0465","0,0465","0,151","0,050","0,050","0,050"
"0,1372","0,0462","0,0455","0,0454","0,138","0,047","0,046","0,046"
"0,1326","0,0448","0,0439","0,0438","0,134","0,045","0,044","0,044"
"0,1294","0,0439","0,0428","0,0426","0,133","0,045","0,044","0,044"
"0,1269","0,0432","0,0419","0,0417","0,136","0,044","0,045","0,046"
"0,1245","0,0425","0,0411","0,0409","0,128","0,043","0,042","0,042"
"0,1224","0,0418","0,0404","0,0401","0,126","0,043","0,042","0,042"
"0,1206","0,0413","0,0398","0,0395","0,126","0,043","0,042","0,042"
"0,1188","0,0408","0,0392","0,0388","0,137","0,043","0,044","0,050"
"0,1177","0,0405","0,0388","0,0384","0,124","0,042","0,041","0,041"
"0,1158","0,0400","0,0381","0,0377","0,126","0,043","0,042","0,042"
"0,1144","0,0396","0,0377","0,0372","0,131","0,042","0,042","0,047"
"0,1130","0,0392","0,0371","0,0366","0,144","0,043","0,048","0,053"
"0,1115","0,0388","0,0366","0,0361","7,063","0,836","2,057","4,171"
"0,1105","0,0386","0,0363","0,0357","0,124","0,042","0,041","0,041"
"0,1095","0,0383","0,0359","0,0353","0,169","0,042","0,055","0,072"
"0,1083","0,0380","0,0355","0,0348","0,236","0,042","0,084","0,110"
"0,1069","0,0377","0,0350","0,0343","0,892","0,049","0,414","0,430"
"0,1062","0,0375","0,0347","0,0340","0,147","0,042","0,049","0,056"
"0,1051","0,0372","0,0343","0,0336","0,176","0,043","0,063","0,070"
"0,1040","0,0369","0,0339","0,0331","0,141","0,042","0,048","0,051"
"0,1029","0,0367","0,0335","0,0327","0,156","0,042","0,053","0,061"
"0,1032","0,0368","0,0336","0,0327","0,122","0,042","0,040","0,040"
"0,1020","0,0365","0,0332","0,0323","0,133","0,042","0,045","0,046"
"0,1004","0,0361","0,0326","0,0317","0,129","0,042","0,043","0,044"
"0,0998","0,0360","0,0324","0,0314","0,142","0,042","0,048","0,052"
"0,0992","0,0359","0,0322","0,0312","0,166","0,042","0,056","0,068"
"0,0981","0,0356","0,0318","0,0307","0,262","0,042","0,085","0,134"
"0,0975","0,0355","0,0315","0,0305","0,159","0,042","0,048","0,069"
"0,0968","0,0353","0,0313","0,0302","0,180","0,042","0,053","0,085"
"0,0956","0,0350","0,0309","0,0297","0,131","0,042","0,043","0,047"
"0,0892","0,0334","0,0286","0,0272","0,130","0,041","0,042","0,047"
"0,0868","0,0329","0,0277","0,0262","0,141","0,042","0,044","0,056"
"0,0854","0,0326","0,0272","0,0256","0,130","0,042","0,042","0,046"
"0,0845","0,0324","0,0268","0,0252","0,166","0,042","0,049","0,075"
"0,0838","0,0323","0,0266","0,0249","0,156","0,042","0,046","0,067"
"0,0828","0,0321","0,0262","0,0245","0,152","0,042","0,046","0,065"
"0,0822","0,0320","0,0260","0,0242","0,147","0,042","0,045","0,061"
"0,0816","0,0319","0,0257","0,0240","0,157","0,042","0,047","0,068"
"0,0810","0,0318","0,0255","0,0237","0,162","0,042","0,048","0,072"
"0,0792","0,0314","0,0248","0,0230","0,164","0,042","0,049","0,073"
"0,0788","0,0313","0,0247","0,0228","0,169","0,042","0,049","0,078"
"0,0784","0,0312","0,0246","0,0227","0,170","0,042","0,050","0,079"
